run_date,ticker,type,expiration,spot_at_scan,long_strike,short_strike,low_strike,mid_strike,high_strike,net_cost,max_profit,prob_profit,ev,graded,actual_spot_at_exp,actual_payoff,actual_pnl,win
2026-07-07,AAPL,Debit Vertical,2026-08-21,310.6600036621094,330.0,335.0,,,,1.4500000000000002,3.55,0.22262180327051384,-0.3368909836474311,no,,,,
2026-07-07,AAPL,Debit Vertical,2026-08-21,310.6600036621094,335.0,340.0,,,,1.1900000000000004,3.8099999999999996,0.17638760088510502,-0.3080619955744752,no,,,,
2026-07-07,AAPL,Butterfly Pin,2026-08-21,310.6600036621094,,,295.0,300.0,305.0,1.6500000000000057,3.3499999999999943,0.08496041722083703,-1.2251979138958204,no,,,,
2026-07-07,AAPL,Butterfly Pin,2026-08-21,310.6600036621094,,,300.0,305.0,310.0,1.5,3.5,0.09218517265532478,-1.0390741367233762,no,,,,
2026-07-07,AAPL,Butterfly Pin,2026-08-21,310.6600036621094,,,305.0,310.0,315.0,1.3499999999999979,3.650000000000002,0.09761048221064633,-0.8619475889467664,no,,,,
2026-07-07,AAPL,Butterfly Pin,2026-08-21,310.6600036621094,,,310.0,315.0,320.0,1.0,4.0,0.10540428742776009,-0.47297856286119955,no,,,,
2026-07-07,AAPL,Butterfly Pin,2026-08-21,310.6600036621094,,,315.0,320.0,325.0,0.9500000000000011,4.049999999999999,0.10163116102052255,-0.4418441948973884,no,,,,
2026-07-07,AAPL,Butterfly Pin,2026-08-21,310.6600036621094,,,320.0,325.0,330.0,0.8000000000000007,4.199999999999999,0.09726320221041351,-0.31368398894793315,no,,,,
2026-07-07,AAPL,Butterfly Pin,2026-08-21,310.6600036621094,,,325.0,330.0,335.0,0.8000000000000007,4.199999999999999,0.08692254643895786,-0.3653872678052114,no,,,,
2026-07-07,AAPL,Butterfly Pin,2026-08-21,310.6600036621094,,,330.0,335.0,340.0,0.79,4.21,0.075524449886547,-0.412377750567265,no,,,,
2026-07-07,CMCSA,Butterfly Pin,2026-08-21,23.40999984741211,,,23.0,24.0,25.0,0.29000000000000004,0.71,0.16547779719704403,-0.12452220280295599,no,,,,
2026-07-07,FXI,Butterfly Pin,2026-08-21,32.4900016784668,,,33.0,34.0,35.0,0.33000000000000007,0.6699999999999999,0.16243591262738422,-0.16756408737261586,no,,,,
2026-07-07,GLD,Debit Vertical,2026-08-21,377.489990234375,395.0,400.0,,,,1.6499999999999995,3.3500000000000005,0.2510307009985113,-0.39484649500744284,no,,,,
2026-07-07,GLD,Debit Vertical,2026-08-21,377.489990234375,400.0,405.0,,,,1.25,3.75,0.207481713848496,-0.21259143075751996,no,,,,
2026-07-07,GLD,Debit Vertical,2026-08-21,377.489990234375,405.0,410.0,,,,1.0499999999999998,3.95,0.16922535006157724,-0.20387324969211362,no,,,,
2026-07-07,GLD,Debit Vertical,2026-08-21,377.489990234375,410.0,415.0,,,,0.8600000000000003,4.14,0.13647936107846304,-0.17760319460768514,no,,,,
2026-07-07,GLD,Butterfly Pin,2026-08-21,377.489990234375,,,370.0,375.0,380.0,1.3500000000000014,3.6499999999999986,0.09598599274780922,-0.8700700362609552,no,,,,
2026-07-07,GLD,Butterfly Pin,2026-08-21,377.489990234375,,,375.0,380.0,385.0,1.2999999999999972,3.700000000000003,0.09674514644417237,-0.8162742677791354,no,,,,
2026-07-07,GLD,Butterfly Pin,2026-08-21,377.489990234375,,,380.0,385.0,390.0,1.1999999999999993,3.8000000000000007,0.09560244540803187,-0.7219877729598401,no,,,,
